current_path,files,bytes,classification,proposed_destination
auditoria_psse_matpower/results/psse_40bus_solved_residual_probe,156,4329618,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_40bus_solved_residual_probe
auditoria_psse_matpower/results/psse_cli_comparison,369,32478235,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_cli_comparison
auditoria_psse_matpower/results/psse_cli_refresh,686,9773647,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_cli_refresh
auditoria_psse_matpower/results/psse_cli_xplore_smoke_20260624_211946,5,101792,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_cli_xplore_smoke_20260624_211946
auditoria_psse_matpower/results/psse_docs_text,3,3861418,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_docs_text
auditoria_psse_matpower/results/psse_genq_augmented_shadow,5,39595,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/psse_genq_augmented_shadow
auditoria_psse_matpower/results/raw_base_500kv_20260528,3,13601,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/raw_base_500kv_20260528
auditoria_psse_matpower/results/regular_cpf_transpa_reduced_all_pv,14,17170029,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/regular_cpf_transpa_reduced_all_pv
auditoria_psse_matpower/results/runcpf_psse_14bus_pv,3,271321,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_14bus_pv
auditoria_psse_matpower/results/runcpf_psse_pv_500kv,15,29771483,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_pv_500kv
auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_fixcheck,1,10920,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_fixcheck
auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_fixcheck2,22,81493423,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_fixcheck2
auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_pq_split_plots,29,70092218,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_pq_split_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_pq_split_settled_plots,25,6952316,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_all_controls_pq_split_settled_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_control_pv,26,100467828,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_control_pv
auditoria_psse_matpower/results/runcpf_psse_transpa_gen_voltage_controlled_pv,8,2868076,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_gen_voltage_controlled_pv
auditoria_psse_matpower/results/runcpf_psse_transpa_genq_ultc_swshunt,106,18534707,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_genq_ultc_swshunt
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt,22,65276400,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_diag,12,63673426,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_diag
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck,10,63702125,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck2,10,63702125,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck2
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck3,10,63708561,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck3
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck4,10,73469650,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck4
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck_final,22,76096550,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_fixcheck_final
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_capability_noplot_fix1,2,20266,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_capability_noplot_fix1
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_capability_plots,23,56767040,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_capability_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_fix2_noplot,11,104564726,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_fix2_noplot
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_fix2_plots,50,110402451,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_fix2_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_noplot,13,100974805,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_noplot
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_pqtrace,25,124082076,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_pqtrace
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_pqtrace_nowindfix,12,109440749,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_genredispatch_rho040_min1mw_capability_pqtrace_nowindfix
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split,10,63702125,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split_plots,22,65974561,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split_settled_plots,27,4962241,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_no_ultc_no_swshunt_pq_split_settled_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_reduced_plots,20,128631924,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_reduced_plots
auditoria_psse_matpower/results/runcpf_psse_transpa_repaired_swshunt_bands,24,69054101,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_repaired_swshunt_bands
auditoria_psse_matpower/results/runcpf_psse_transpa_repaired_swshunt_bands_settled_pv,21,8780568,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_repaired_swshunt_bands_settled_pv
auditoria_psse_matpower/results/runcpf_psse_transpa_saturated_voltage_controlled_pv,6,2089171,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_saturated_voltage_controlled_pv
auditoria_psse_matpower/results/runcpf_psse_transpa_saturated_voltage_controlled_pv_corrected,2,138985673,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_saturated_voltage_controlled_pv_corrected
auditoria_psse_matpower/results/runcpf_psse_transpa_selected_controls_no_genq_pqbrak,20,129959192,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_selected_controls_no_genq_pqbrak
auditoria_psse_matpower/results/runcpf_psse_transpa_selected_controls_no_genq_pqbrak_settled_pv,21,3494155,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runcpf_psse_transpa_selected_controls_no_genq_pqbrak_settled_pv
auditoria_psse_matpower/results/runpf_psse_large_raw_500kv_20260528,4,177354342,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/runpf_psse_large_raw_500kv_20260528
auditoria_psse_matpower/results/sadi_pq_equivalent,7,195078183,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/sadi_pq_equivalent
auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1,9,282859009,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1
auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1_raw_snapshot,9,145226509,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1_raw_snapshot
auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1_raw_snapshot_study_locked,9,144379493,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/sadi_pq_equivalent_actaps1_raw_snapshot_study_locked
auditoria_psse_matpower/results/sadi_pq_equivalent_raw_snapshot_psse_controls_actaps0,7,146165327,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/sadi_pq_equivalent_raw_snapshot_psse_controls_actaps0
auditoria_psse_matpower/results/transpa_cpf_psse_all_disabled_pv_only,33,90926981,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/transpa_cpf_psse_all_disabled_pv_only
auditoria_psse_matpower/results/transpa_cpf_psse_tap_shunt_capability_pqtrace_diagnostics_run,38,104032399,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/transpa_cpf_psse_tap_shunt_capability_pqtrace_diagnostics_run
auditoria_psse_matpower/results/transpa_reduccion_v1,23,40384274,HOLD_LIVE_MIXED,KEEP until inputs separated
auditoria_psse_matpower/results/transpa_reduccion_v1_auditoria_integral,5,4315,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/transpa_reduccion_v1_auditoria_integral
auditoria_psse_matpower/results/ultc_10bus_sign,3,85250,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/ultc_10bus_sign
auditoria_psse_matpower/results/v26p_ultc_study_mask_pf,2,139454584,ARCHIVE_CANDIDATE_UNREVIEWED,archive/experiments/auditoria_psse_matpower/results/v26p_ultc_study_mask_pf
